,loss,accuracy,val_loss,val_accuracy
0,1.1808236837387085,0.5235646963119507,0.6092926859855652,0.682170569896698
1,0.7183218002319336,0.6743787527084351,0.547125518321991,0.7286821603775024
2,0.5793852210044861,0.7352185249328613,0.4553172290325165,0.7751938104629517
3,0.50247722864151,0.7694944143295288,0.43629196286201477,0.7906976938247681
4,0.4629747271537781,0.7849186062812805,0.4174652695655823,0.8139534592628479
5,0.43261972069740295,0.7986289858818054,0.45716798305511475,0.7829457521438599
6,0.4119662940502167,0.8149100542068481,0.38029688596725464,0.8372092843055725
7,0.3861558437347412,0.8243359327316284,0.3701009750366211,0.8449612259864807
8,0.3676994740962982,0.8303341865539551,0.37622618675231934,0.8527131676673889
9,0.3569636344909668,0.8423307538032532,0.37442338466644287,0.8372092843055725
10,0.33868521451950073,0.8457583785057068,0.3706444799900055,0.8449612259864807
